antibiotic	num_obs	res_prop	lab_derived_prop	train_prop	val_prop	n_fold	fit_penalty	fit_mixture	f1_score	log2_apop	bal_acc	mcc	date	bug	model	model_scale	model_drug	model_data	model_colors	model_shapes
tetracycline	1705	0.53	1	0.6	0.2	NA	0.04641588834	0.8	0.78	0.78	0.8	0.8	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
ticarcillin/clavulanic acid	239	0.42	1	0.6	0.2	NA	1.00E-04	0	0.95	1.24	0.96	0.96	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
tigecycline	1114	0.23	1	0.6	0.2	NA	0.0215443469	0.2	0.62	1.69	0.74	0.76	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
tobramycin	2179	0.58	1	0.6	0.2	NA	0.04641588834	0.4	0.91	0.71	0.89	0.9	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
trimethoprim	251	0.44	1	0.6	0.2	NA	1.00E-04	0	0.86	0.98	0.88	0.88	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
trimethoprim/sulfamethoxazole	3317	0.67	1	0.6	0.2	NA	0.0215443469	0.6	0.92	0.53	0.88	0.87	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
trimethoprim/sulfobactam	225	0.33	1	0.6	0.2	NA	1.00E-04	0.4	0.89	1.56	0.9	0.93	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
trimotheprim	127	0.72	1	0.6	0.2	NA	1.00E-04	0	0.79	0.12	0.45	0.41	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
aminoglycosides	3860	0.56	1	0.6	0.2	NA	0.0215443469	0.8	0.89	0.76	0.88	0.88	2025-05-23	Kpn	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
amphenicols	342	0.7	1	0.6	0.2	NA	0.04641588834	1	0.88	0.47	0.77	0.79	2025-05-23	Kpn	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
carbapenems	3816	0.39	1	0.6	0.2	NA	0.01	0.8	0.92	1.31	0.93	0.93	2025-05-23	Kpn	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
cephalosporins	2914	0.83	1	0.6	0.2	NA	1.00E-04	0	0.96	0.27	0.85	0.87	2025-05-23	Kpn	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
fluoroquinolones	3608	0.67	1	0.6	0.2	NA	1.00E-04	0.8	0.94	0.56	0.91	0.91	2025-05-23	Kpn	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
monobactams	2289	0.83	1	0.6	0.2	NA	1.00E-04	0	0.95	0.24	0.79	0.85	2025-05-23	Kpn	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
nitrofuran-derivatives	1123	0.82	1	0.6	0.2	NA	1.00E-04	0	0.95	0.26	0.74	0.79	2025-05-23	Kpn	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
penicillins/beta-lactamase-inhibitor	2863	0.82	1	0.6	0.2	NA	1.00E-04	0	0.96	0.27	0.83	0.87	2025-05-23	Kpn	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
phosphonic acid antibacterial	270	0.26	1	0.6	0.2	NA	1.00E-04	0.2	0.58	1.37	0.71	0.75	2025-05-23	Kpn	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
polymyxin	1422	0.23	1	0.6	0.2	NA	0.004641588834	1	0.59	1.52	0.72	0.75	2025-05-23	Kpn	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
quinolones	157	0.64	1	0.6	0.2	NA	1.00E-04	0.4	0.8	0.49	0.66	0.69	2025-05-23	Kpn	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
tetracyclines	2665	0.44	1	0.6	0.2	NA	0.01	0.8	0.77	0.95	0.8	0.81	2025-05-23	Kpn	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
trimethoprim-derivatives	251	0.44	1	0.6	0.2	NA	1.00E-04	0	0.86	0.98	0.88	0.88	2025-05-23	Kpn	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
