antibiotic	num_obs	res_prop	lab_derived_prop	train_prop	val_prop	n_fold	fit_penalty	fit_mixture	f1_score	log2_apop	bal_acc	mcc	date	bug	model	model_scale	model_drug	model_data	model_colors	model_shapes
amikacin	670	0.66	1	0.6	0.2	NA	1.00E-04	0.4	0.91	0.51	0.85	0.86	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
ampicillin/sulbactam	464	0.56	1	0.6	0.2	NA	0.0215443469	0.8	0.94	0.81	0.93	0.94	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
cefepime	201	0.94	1	0.6	0.2	NA	1.00E-04	1	0.98	0.09	NA	NA	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
cefotaxime	398	0.97	1	0.6	0.2	NA	1.00E-04	0	0.99	0.04	0.5	NA	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
ceftazidime	642	0.88	1	0.6	0.2	NA	0.01	0.8	0.93	0.17	0.73	0.73	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
ceftriaxone	522	0.95	1	0.6	0.2	NA	1.00E-04	0	0.96	0.06	0.61	0.68	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
ciprofloxacin	737	0.93	1	0.6	0.2	NA	0.004641588834	0.4	0.98	0.1	0.77	0.86	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
doripenem	70	0.4	1	0.6	0.2	NA	1.00E-04	0.2	0.8	1.28	0.83	0.87	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
doxycycline	32	0.66	1	0.6	0.2	NA	0.1	0.2	0.67	0.38	0.63	0.63	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
gentamicin	721	0.9	1	0.6	0.2	NA	1.00E-04	0.6	0.97	0.15	0.71	0.79	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
imipenem	666	0.55	1	0.6	0.2	NA	0.1	0.2	0.92	0.82	0.91	0.91	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
levofloxacin	401	0.84	1	0.6	0.2	NA	1.00E-04	0	0.97	0.25	0.91	0.91	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
meropenem	318	0.76	1	0.6	0.2	NA	1.00E-04	0.4	0.89	0.28	0.77	0.77	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
minocycline	64	0.16	1	0.6	0.2	NA	1.00E-04	0	NA	0.32	0.5	NA	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
piperacillin/tazobactam	252	0.98	1	0.6	0.2	NA	1.00E-04	0	0.99	0.03	0.5	NA	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
tetracycline	472	0.8	1	0.6	0.2	NA	1.00E-04	0.2	0.97	0.31	0.91	0.92	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
tobramycin	537	0.72	1	0.6	0.2	NA	1.00E-04	0.4	0.9	0.43	0.81	0.82	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
trimethoprim/sulfamethoxazole	497	0.88	1	0.6	0.2	NA	1.00E-04	1	0.96	0.17	0.8	0.8	2025-05-20	Aba	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
aminoglycosides	750	0.93	1	0.6	0.2	NA	0.01	1	0.99	0.09	0.91	0.95	2025-05-21	Aba	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
carbapenems	717	0.58	1	0.6	0.2	NA	1.00E-04	0	0.94	0.77	0.92	0.92	2025-05-21	Aba	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
cephalosporins	668	0.98	1	0.6	0.2	NA	1.00E-04	0	0.99	0.03	0.5	NA	2025-05-21	Aba	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
fluoroquinolones	739	0.93	1	0.6	0.2	NA	1.00E-04	0	0.97	0.09	0.63	0.71	2025-05-21	Aba	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
penicillins/beta-lactamase-inhibitor	625	0.71	1	0.6	0.2	NA	0.0215443469	0.2	0.92	0.45	0.86	0.86	2025-05-21	Aba	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
tetracyclines	521	0.75	1	0.6	0.2	NA	1.00E-04	0.2	0.94	0.33	0.86	0.87	2025-05-21	Aba	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
trimethoprim/sulfonamides	497	0.88	1	0.6	0.2	NA	1.00E-04	0.8	0.95	0.16	0.82	0.84	2025-05-21	Aba	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
chloramphenicol	37	0.81	1	0.6	0.2	NA	1.00E-04	0	1	0.3	NA	NA	2025-05-19	Efa	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
dalbavancin	44	0.77	1	0.6	0.2	NA	1.00E-04	0.2	0.93	0.23	0.75	0.83	2025-05-19	Efa	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
daptomycin	251	0.19	1	0.6	0.2	NA	0.04641588834	0.2	0.57	2.02	0.7	0.76	2025-05-19	Efa	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
gentamicin	210	0.33	1	0.6	0.2	NA	1.00E-04	0	0.89	1.45	0.91	0.92	2025-05-19	Efa	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
linezolid	230	0.27	1	0.6	0.2	NA	1.00E-04	0.2	0.87	1.81	0.94	0.91	2025-05-19	Efa	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
nitrofurantoin	40	0.85	1	0.6	0.2	NA	1.00E-04	0.2	0.94	0.23	0.5	NA	2025-05-19	Efa	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
streptomycin	169	0.49	1	0.6	0.2	NA	1.00E-04	0	0.97	1.03	0.97	0.97	2025-05-19	Efa	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
synercid	40	0.2	1	0.6	0.2	NA	1.00E-04	0.4	NA	2.32	0.5	NA	2025-05-19	Efa	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
tedizolid	44	0.73	1	0.6	0.2	NA	0.1	0.6	0.92	0.41	0.93	0.9	2025-05-19	Efa	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
teicoplanin	153	0.82	1	0.6	0.2	NA	1.00E-04	0.2	1	0.29	1	1	2025-05-19	Efa	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
tetracycline	12	0.5	1	0.6	0.2	NA	1.00E-04	0	0.67	1	0.5	NA	2025-05-19	Efa	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
vancomycin	896	0.61	1	0.6	0.2	NA	0.01	0.4	0.92	0.67	0.9	0.9	2025-05-19	Efa	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
aminoglycosides	210	0.71	1	0.6	0.2	NA	1.00E-04	0.4	0.97	0.49	0.92	0.94	2025-05-19	Efa	domain_acc_binary_class	domain	drug_class	acc_binary	#66a61e	24
amphenicols	37	0.81	1	0.6	0.2	NA	1.00E-04	0	1	0.3	NA	NA	2025-05-19	Efa	domain_acc_binary_class	domain	drug_class	acc_binary	#66a61e	24
glycopeptides	896	0.61	1	0.6	0.2	NA	0.004641588834	0.4	0.89	0.64	0.86	0.86	2025-05-19	Efa	domain_acc_binary_class	domain	drug_class	acc_binary	#66a61e	24
lipopeptides	251	0.19	1	0.6	0.2	NA	0.04641588834	0.2	0.57	2.02	0.7	0.76	2025-05-19	Efa	domain_acc_binary_class	domain	drug_class	acc_binary	#66a61e	24
macrolides	41	0.22	1	0.6	0.2	NA	1.00E-04	0.2	1	2.18	1	1	2025-05-19	Efa	domain_acc_binary_class	domain	drug_class	acc_binary	#66a61e	24
nitrofuran-derivatives	40	0.85	1	0.6	0.2	NA	1.00E-04	0.2	0.94	0.23	0.5	NA	2025-05-19	Efa	domain_acc_binary_class	domain	drug_class	acc_binary	#66a61e	24
oxazolidinones	230	0.27	1	0.6	0.2	NA	1.00E-04	0	0.87	1.86	0.88	0.92	2025-05-19	Efa	domain_acc_binary_class	domain	drug_class	acc_binary	#66a61e	24
tetracyclines	204	0.21	1	0.6	0.2	NA	1.00E-04	0.2	0.89	2.25	0.97	0.93	2025-05-19	Efa	domain_acc_binary_class	domain	drug_class	acc_binary	#66a61e	24
chloramphenicol	37	0.81	1	0.6	0.2	NA	1.00E-04	0	1	0.3	NA	NA	2025-05-19	Efa	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
dalbavancin	44	0.77	1	0.6	0.2	NA	1.00E-04	0.2	0.83	0.32	0.86	0.8	2025-05-19	Efa	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
daptomycin	251	0.19	1	0.6	0.2	NA	1.00E-04	0	0.6	2.23	0.71	0.8	2025-05-19	Efa	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
gentamicin	210	0.33	1	0.6	0.2	NA	1.00E-04	0	0.93	1.56	0.95	0.95	2025-05-19	Efa	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
linezolid	230	0.27	1	0.6	0.2	NA	1.00E-04	0	0.93	1.89	0.97	0.95	2025-05-19	Efa	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
nitrofurantoin	40	0.85	1	0.6	0.2	NA	1.00E-04	0	0.94	0.23	0.5	NA	2025-05-19	Efa	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
streptomycin	169	0.49	1	0.6	0.2	NA	0.1	0.4	1	1.03	1	1	2025-05-19	Efa	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
synercid	40	0.2	1	0.6	0.2	NA	1.00E-04	0	NA	1.98	0.5	NA	2025-05-19	Efa	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
tedizolid	44	0.73	1	0.6	0.2	NA	1.00E-04	0	0.92	0.42	0.93	0.9	2025-05-19	Efa	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
teicoplanin	153	0.82	1	0.6	0.2	NA	1.00E-04	0.2	1	0.29	1	1	2025-05-19	Efa	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
tetracycline	12	0.5	1	0.6	0.2	NA	1.00E-04	0	0.67	1	0.5	NA	2025-05-19	Efa	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
vancomycin	896	0.61	1	0.6	0.2	NA	1.00E-04	0.2	1	0.71	1	1	2025-05-19	Efa	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
aminoglycosides	210	0.71	1	0.6	0.2	NA	1.00E-04	0	1	0.49	1	1	2025-05-19	Efa	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
amphenicols	37	0.81	1	0.6	0.2	NA	1.00E-04	0	1	0.3	NA	NA	2025-05-19	Efa	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
glycopeptides	896	0.61	1	0.6	0.2	NA	1.00E-04	0.2	0.99	0.7	0.98	0.98	2025-05-19	Efa	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
lipopeptides	251	0.19	1	0.6	0.2	NA	1.00E-04	0	0.6	2.23	0.71	0.8	2025-05-19	Efa	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
macrolides	41	0.22	1	0.6	0.2	NA	1.00E-04	0	NA	2.18	0.5	NA	2025-05-19	Efa	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
nitrofuran-derivatives	40	0.85	1	0.6	0.2	NA	1.00E-04	0	0.94	0.23	0.5	NA	2025-05-19	Efa	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
oxazolidinones	230	0.27	1	0.6	0.2	NA	1.00E-04	0	0.96	1.89	0.99	0.97	2025-05-19	Efa	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
tetracyclines	204	0.21	1	0.6	0.2	NA	1.00E-04	0	0.84	2.25	0.96	0.91	2025-05-19	Efa	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
amikacin	184	0.09	1	0.6	0.2	NA	0.0215443469	1	0.67	2.98	0.82	0.82	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
aminogycosides	112	0.24	1	0.6	0.2	NA	1.00E-04	0	0.44	1.6	0.64	0.68	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
beta-lactam	114	0.72	1	0.6	0.2	NA	1.00E-04	0	0.85	0.31	0.57	0.66	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
carbapenem	65	0.49	1	0.6	0.2	NA	1.00E-04	0.2	0.93	1.03	0.93	0.93	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
cefepime	103	0.67	1	0.6	0.2	NA	1.00E-04	0	0.87	0.53	0.75	0.78	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
chloramphenicol	15	0.47	1	0.6	0.2	NA	1.00E-04	0.4	1	1.09	1	1	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
ciprofloxacin	115	0.62	1	0.6	0.2	NA	0.04641588834	0.4	0.8	0.55	0.73	0.73	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
doripenem	43	0.49	1	0.6	0.2	NA	1.00E-04	0	0.75	0.94	0.8	0.83	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
ertapenem	223	0.89	1	0.6	0.2	NA	0.00215443469	1	0.95	0.09	0.48	0.48	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
fluoroquinolones	112	0.28	1	0.6	0.2	NA	1.00E-04	0.2	0.18	-0.11	0.48	0.48	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
gentamicin	164	0.48	1	0.6	0.2	NA	1.00E-04	0.2	0.93	1.03	0.94	0.94	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
imipenem	90	0.66	1	0.6	0.2	NA	0.0215443469	0.4	0.83	0.56	0.64	0.72	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
levofloxacin	99	0.57	1	0.6	0.2	NA	1.00E-04	0	0.96	0.77	0.96	0.95	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
meropenem	154	0.31	1	0.6	0.2	NA	1.00E-04	0.6	0.38	0.83	0.54	0.54	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
piperacillin/tazobactam	190	0.93	1	0.6	0.2	NA	1.00E-04	0.2	0.96	0.08	0.49	0.48	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
tetracycline	65	0.37	1	0.6	0.2	NA	0.004641588834	1	0.62	1.2	0.68	0.67	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
tigecycline	128	0.27	1	0.6	0.2	NA	0.01	1	0.2	0.05	0.52	0.53	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
tobramycin	158	0.66	1	0.6	0.2	NA	1.00E-04	0.2	0.72	0.46	0.65	0.65	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
trimethoprim/sulfamethoxazole	89	0.53	1	0.6	0.2	NA	1.00E-04	0	0.86	0.89	0.84	0.84	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
trimotheprim	112	0.29	1	0.6	0.2	NA	1.00E-04	1	0.5	1.1	0.65	0.67	2025-05-19	Esp.	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
aminoglycosides	211	0.62	1	0.6	0.2	NA	0.04641588834	0.8	0.8	0.29	0.67	0.7	2025-05-20	Esp.	domain_acc_binary_class	domain	drug_class	acc_binary	#66a61e	24
amphenicols	15	0.47	1	0.6	0.2	NA	1.00E-04	0	0.8	0.75	0.75	0.79	2025-05-20	Esp.	domain_acc_binary_class	domain	drug_class	acc_binary	#66a61e	24
carbapenems	257	0.83	1	0.6	0.2	NA	0.1	0.8	0.87	0	0.5	NA	2025-05-20	Esp.	domain_acc_binary_class	domain	drug_class	acc_binary	#66a61e	24
fluoroquinolones	117	0.62	1	0.6	0.2	NA	0.1	1	0.86	0.65	0.72	0.79	2025-05-20	Esp.	domain_acc_binary_class	domain	drug_class	acc_binary	#66a61e	24
tetracyclines	163	0.35	1	0.6	0.2	NA	1.00E-04	0.6	0.12	-0.04	0.45	0.43	2025-05-20	Esp.	domain_acc_binary_class	domain	drug_class	acc_binary	#66a61e	24
trimethoprim/sulfonamides	89	0.53	1	0.6	0.2	NA	1.00E-04	0	0.86	0.73	0.84	0.84	2025-05-20	Esp.	domain_acc_binary_class	domain	drug_class	acc_binary	#66a61e	24
amikacin	184	0.09	1	0.6	0.2	NA	1.00E-04	0.4	0.57	2.64	0.8	0.77	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
aminogycosides	112	0.24	1	0.6	0.2	NA	1.00E-04	0	0.67	1.7	0.75	0.83	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
beta-lactam	114	0.72	1	0.6	0.2	NA	1.00E-04	0	0.89	0.38	0.71	0.79	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
carbapenem	65	0.49	1	0.6	0.2	NA	1.00E-04	0.2	1	1.03	1	1	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
cefepime	103	0.67	1	0.6	0.2	NA	0.1	0.6	0.93	0.53	0.89	0.89	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
chloramphenicol	15	0.47	1	0.6	0.2	NA	1.00E-04	1	0.67	0.9	0.75	0.79	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
ciprofloxacin	115	0.62	1	0.6	0.2	NA	0.1	0.2	0.9	0.62	0.88	0.87	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
doripenem	43	0.49	1	0.6	0.2	NA	0.1	0.6	0.75	1.03	0.8	0.83	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
ertapenem	223	0.89	1	0.6	0.2	NA	1.00E-04	0	0.97	0.03	0.49	0.48	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
fluoroquinolones	112	0.28	1	0.6	0.2	NA	1.00E-04	0	0.22	-0.11	0.54	0.57	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
gentamicin	164	0.48	1	0.6	0.2	NA	0.1	0.8	0.9	1	0.91	0.92	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
imipenem	90	0.66	1	0.6	0.2	NA	0.04641588834	0.4	0.74	0.48	0.56	0.57	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
levofloxacin	99	0.57	1	0.6	0.2	NA	1.00E-04	0.2	0.83	0.71	0.81	0.81	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
meropenem	154	0.31	1	0.6	0.2	NA	0.1	0.8	0.57	1.24	0.7	0.78	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
piperacillin/tazobactam	190	0.93	1	0.6	0.2	NA	1.00E-04	0	0.97	0.08	0.5	NA	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
tetracycline	65	0.37	1	0.6	0.2	NA	1.00E-04	0.8	0.73	1.11	0.79	0.78	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
tigecycline	128	0.27	1	0.6	0.2	NA	0.01	0.6	0.48	0.64	0.62	0.61	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
tobramycin	158	0.66	1	0.6	0.2	NA	1.00E-04	0.2	0.78	0.49	0.79	0.77	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
trimethoprim/sulfamethoxazole	89	0.53	1	0.6	0.2	NA	0.0215443469	0.4	1	0.92	1	1	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
trimotheprim	112	0.29	1	0.6	0.2	NA	1.00E-04	0	0.6	1.27	0.71	0.79	2025-05-19	Esp.	gene_acc_binary	gene	drug	acc_binary	#e6ab02	24
aminoglycosides	211	0.62	1	0.6	0.2	NA	0.0215443469	0.2	0.88	0.65	0.8	0.83	2025-05-20	Esp.	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
amphenicols	15	0.47	1	0.6	0.2	NA	1.00E-04	0	0.5	0.75	0.5	0.5	2025-05-20	Esp.	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
carbapenems	257	0.83	1	0.6	0.2	NA	0.1	1	0.87	0.07	0.5	NA	2025-05-20	Esp.	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
fluoroquinolones	117	0.62	1	0.6	0.2	NA	1.00E-04	0	0.91	0.62	0.83	0.87	2025-05-20	Esp.	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
tetracyclines	163	0.35	1	0.6	0.2	NA	0.04641588834	1	0.2	-0.13	0.45	0.44	2025-05-20	Esp.	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
trimethoprim/sulfonamides	89	0.53	1	0.6	0.2	NA	0.04641588834	1	0.86	0.89	0.84	0.84	2025-05-20	Esp.	gene_acc_binary_class	gene	drug_class	acc_binary	#e6ab02	24
amikacin	2664	0.16	1	0.6	0.2	NA	0.004641588834	0.6	0.77	2.29	0.85	0.86	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
aminogycosides	127	0.61	1	0.6	0.2	NA	1.00E-04	0	0.83	0.67	0.72	0.75	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
amoxicillin/clavulanic acid	864	0.79	1	0.6	0.2	NA	0.1	0.2	0.92	0.31	0.74	0.79	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
ampicillin/sulbactam	1897	0.87	1	0.6	0.2	NA	0.004641588834	0.2	0.94	0.17	0.73	0.77	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
aztreonam	2289	0.82	1	0.6	0.2	NA	0.01	0.2	0.91	0.2	0.73	0.76	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
beta-lactam	127	0.66	1	0.6	0.2	NA	1.00E-04	0.6	0.84	0.53	0.83	0.81	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
carbenicillin	89	0.94	1	0.6	0.2	NA	1.00E-04	0	0.94	0.07	0.5	NA	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
cefazolin	2370	0.82	1	0.6	0.2	NA	0.004641588834	0.8	0.94	0.27	0.8	0.82	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
cefepime	2264	0.63	1	0.6	0.2	NA	0.1	0.2	0.82	0.51	0.68	0.72	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
cefotaxime	1422	0.71	1	0.6	0.2	NA	0.0215443469	0.2	0.93	0.45	0.86	0.87	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
cefotetan	144	0.27	1	0.6	0.2	NA	1.00E-04	0.2	0.78	1.64	0.87	0.84	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
cefoxitin	2253	0.54	1	0.6	0.2	NA	1.00E-04	0	0.8	0.7	0.78	0.78	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
cefpodoxime	294	0.74	1	0.6	0.2	NA	0.04641588834	0.2	0.84	0.23	0.7	0.7	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
cefpodoxime_clavulanic_acid	188	0.87	1	0.6	0.2	NA	0.04641588834	0.8	0.91	0.16	0.64	0.66	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
ceftazidime	3281	0.72	1	0.6	0.2	NA	0.001	1	0.92	0.43	0.84	0.85	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
ceftazidime/avibactam	327	0.25	1	0.6	0.2	NA	1.00E-04	1	0.83	1.86	0.85	0.9	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
ceftolozane/tazobactam	147	0.62	1	0.6	0.2	NA	1.00E-04	0	0.85	0.65	0.78	0.79	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
ceftriaxone	2340	0.82	1	0.6	0.2	NA	0.004641588834	0.4	0.93	0.27	0.79	0.81	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
ceftriaxone/cefpodoxime	53	0.51	1	0.6	0.2	NA	0.0215443469	0.4	0.62	0.75	0.58	0.58	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
cefuroxime	1668	0.93	1	0.6	0.2	NA	0.04641588834	0	0.98	0.1	0.66	0.73	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
cephalothin	168	0.79	1	0.6	0.2	NA	1.00E-04	0.8	0.89	0.28	0.67	0.72	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
chloramphenicol	329	0.69	1	0.6	0.2	NA	0.04641588834	0.4	0.82	0.42	0.69	0.69	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
ciprofloxacin	3558	0.68	1	0.6	0.2	NA	0.04641588834	0	0.92	0.53	0.9	0.89	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
colistin	1266	0.23	1	0.6	0.2	NA	0.00215443469	0.2	0.51	1.03	0.7	0.69	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
doripenem	233	0.89	1	0.6	0.2	NA	0.1	0.8	0.92	0.05	0.5	NA	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
doxycycline	141	0.32	1	0.6	0.2	NA	0.1	0.4	0.63	1.32	0.73	0.75	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
ertapenem	1382	0.65	1	0.6	0.2	NA	0.0215443469	1	0.9	0.56	0.86	0.86	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
extended spectrum beta lactamase	403	0.42	1	0.6	0.2	NA	1.00E-04	0.4	0.8	1.02	0.83	0.82	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
fluoroquinolones	127	0.57	1	0.6	0.2	NA	0.04641588834	0.6	0.78	0.19	0.65	0.69	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
fosfomycin	270	0.26	1	0.6	0.2	NA	0.0215443469	0.2	0.57	1.37	0.7	0.79	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
gentamicin	3662	0.38	1	0.6	0.2	NA	0.004641588834	0.6	0.78	1.13	0.82	0.82	2025-05-24	Kpn	domain_acc_binary	domain	drug	acc_binary	#66a61e	24
